Record Length,2500,Points,181.60000443E-3,1.4000001,,Record Length,2500,Points,181.60000443E-3,1.3480000,
Sample Interval,39.99999899E-6,s,181.63999915E-3,1.4000001,,Sample Interval,39.99999899E-6,s,181.63999915E-3,1.3480000,
Trigger Point,-4.54000044E3,Samples,181.68000877E-3,1.4000001,,Trigger Point,-4.54000044E3,Samples,181.68000877E-3,1.3480000,
,,,181.72000349E-3,1.4000001,,,,,181.72000349E-3,1.3480000,
,,,181.75999820E-3,1.4000001,,,,,181.75999820E-3,1.3480000,
,,,181.80000782E-3,1.4000001,,,,,181.80000782E-3,1.3480000,
Source,CH3,,181.84000254E-3,1.4000001,,Source,CH4,,181.84000254E-3,1.3480000,
Vertical Units,Volts,,181.87999725E-3,1.4000001,,Vertical Units,Volts,,181.87999725E-3,1.3480000,
Vertical Scale,100.0000047E-3,,181.92000687E-3,1.4000001,,Vertical Scale,100.0000047E-3,,181.92000687E-3,1.3480000,
Vertical Offset,0,,181.96000159E-3,1.4000001,,Vertical Offset,0,,181.96000159E-3,1.3480000,
Horizontal Units,s,,182.00001121E-3,1.3960000,,Horizontal Units,s,,182.00001121E-3,1.3480000,
Horizontal Scale,9.999999747E-3,,182.04000592E-3,1.4000001,,Horizontal Scale,9.999999747E-3,,182.04000592E-3,1.3480000,
Pt Fmt,Y,,182.08000064E-3,1.3960000,,Pt Fmt,Y,,182.08000064E-3,1.3480000,
Yzero,-9.680000000,,182.12001026E-3,1.3960000,,Yzero,-10.1600000,,182.12001026E-3,1.3480000,
Probe Atten,1.000000,,182.16000497E-3,1.3960000,,Probe Atten,1.000000,,182.16000497E-3,1.3480000,
,,,182.19999969E-3,1.3960000,,,,,182.19999969E-3,1.3480000,
Note,TDS 2024B - 12:16:45   1-12-2023,,182.24000931E-3,1.3960000,,Note,TDS 2024B - 12:16:45   1-12-2023,,182.24000931E-3,1.3440001,
,,,182.28000402E-3,1.3960000,,,,,182.28000402E-3,1.3440001,
,,,182.31999874E-3,1.3960000,,,,,182.31999874E-3,1.3440001,
,,,182.36000836E-3,1.3960000,,,,,182.36000836E-3,1.3440001,
,,,182.40000308E-3,1.3960000,,,,,182.40000308E-3,1.3440001,
,,,182.43999779E-3,1.3960000,,,,,182.43999779E-3,1.3440001,
,,,182.48000741E-3,1.3960000,,,,,182.48000741E-3,1.3440001,
,,,182.52000213E-3,1.3960000,,,,,182.52000213E-3,1.3440001,
,,,182.56001174E-3,1.3920001,,,,,182.56001174E-3,1.3440001,
,,,182.60000646E-3,1.3920001,,,,,182.60000646E-3,1.3440001,
,,,182.64000118E-3,1.3920001,,,,,182.64000118E-3,1.3440001,
,,,182.68001080E-3,1.3920001,,,,,182.68001080E-3,1.3440001,
,,,182.72000551E-3,1.3920001,,,,,182.72000551E-3,1.3440001,
,,,182.76000023E-3,1.3920001,,,,,182.76000023E-3,1.3440001,
,,,182.80000985E-3,1.3920001,,,,,182.80000985E-3,1.3440001,
,,,182.84000456E-3,1.3920001,,,,,182.84000456E-3,1.3440001,
,,,182.87999928E-3,1.3920001,,,,,182.87999928E-3,1.3440001,
,,,182.92000890E-3,1.3920001,,,,,182.92000890E-3,1.3400000,
,,,182.96000361E-3,1.3920001,,,,,182.96000361E-3,1.3400000,
,,,182.99999833E-3,1.3880000,,,,,182.99999833E-3,1.3400000,
,,,183.04000795E-3,1.3920001,,,,,183.04000795E-3,1.3400000,
,,,183.08000267E-3,1.3880000,,,,,183.08000267E-3,1.3400000,
,,,183.11999738E-3,1.3880000,,,,,183.11999738E-3,1.3400000,
,,,183.16000700E-3,1.3880000,,,,,183.16000700E-3,1.3400000,
,,,183.20000172E-3,1.3880000,,,,,183.20000172E-3,1.3400000,
,,,183.24001133E-3,1.3880000,,,,,183.24001133E-3,1.3400000,
,,,183.28000605E-3,1.3880000,,,,,183.28000605E-3,1.3400000,
,,,183.32000077E-3,1.3880000,,,,,183.32000077E-3,1.3400000,
,,,183.36001039E-3,1.3880000,,,,,183.36001039E-3,1.3400000,
,,,183.40000510E-3,1.3880000,,,,,183.40000510E-3,1.3400000,
,,,183.43999982E-3,1.3880000,,,,,183.43999982E-3,1.3400000,
,,,183.48000944E-3,1.3880000,,,,,183.48000944E-3,1.3400000,
,,,183.52000415E-3,1.3880000,,,,,183.52000415E-3,1.3360001,
